english_caption,bengali_caption
a young boy wearing a red shirt hanging around a brown pole,লাল গেঞ্জি পড়া এক বালক একটি বাদামি পুলে ঝুলে আছে।
child in red shirt and white shorts hanging onto a pole,লাল শার্ট আর সাদা শর্টস পরা এক বাচ্চা খুঁটিতে দুলছে
a child running on a beach with seaguls flying around .,একটি ছেলে সিগাল ভর্তি সৈকতে দৌড়াচ্ছে
"a child runs along the shore , while birds fly overhead .",সৈকতে এক বাচ্চা দৌড়াচ্ছে এবং সেখানে বসে থাকা পাখি উড়ে যাচ্ছে
a small child is running on the shore of the beach surrounded by birds .,পাখি ঘেরা একটি সৈকতে ছেলেটা দৌড়াচ্ছে
a young boy wearing a gren shirt running on the beach,সবুজ গেঞ্জি পড়া এক বালক সৈকতে ছুটছে।
a young child runs along a beach as birds fly among him .,আকাশে পাখি উড়ছে এবং ছেলেটি ছুটে চলেছে
a boy and girl playing with buckets in a lawn sprinkler,একটি ছেলে ও মেয়ে বালতি নিয়ে খেলছে
a girl and boy are playing with buckets of water in the garden overlooking a lake .,এক ছেলে ও এক মেয়ে বালতি ভর্তি পানি দিয়ে খেলছে
a girl with a bucket of water is being chased by a boy with a bucket of water .,বালতি ভরা পানি নিয়ে মেয়েটিকে তাড়া করছে একটি ছেলে
a young girl and young boy are playing with pails of water with the ocean in the background .,এক ছোট মেয়ে ও ছেলে পানি দিয়ে খেলছে যাদের পিছনে সমুদ্র।
children play in a sprinkler near a beach .,বাচ্চাগুলো বালতি হাতে নিয়ে পানির ফোয়ারায় খেলছে
a dog catches a tennis ball .,একটি কুকুরের মুখে টেনিস বল
a small dog catches a tennis ball in its mouth .,একটি ছোট কুকুর মুখ দিয়ে একটি টেনিস বল ধরেছে
a small dog with a tennis ball in its mouth playing in a driveway .,মুখে টেনিস বল নিয়ে একটি কুকুর ড্রাইভওয়েতে ছুটছে।
the tan and white dog is running outside with a tennis ball in its mouth .,তামাটে ও সাদা কুকুরটি মুখে একটি টেনিস বল নিয়ে বাইরে দৌড়াদৌড়ি করছে
"an suv is parked in a grassy field with mountains in the background , and a woman is looking through a telescope off into the distance .","এক মহিলা পাহাড়ের সামনে দূরবীন দিয়ে দেখছে, পেছনে গাড়ি দাড় করানো"
a person holding a piece of equipment up to her eyes is standing in a large meadow near a blue vehicle .,উপত্যকার মধ্যে এক মেয়ে দূরবীন দিয়ে চারপাশ দেখছে
a person in a field looks through a telescope while a blue car approaches or waits .,টেলিস্কোপ দিয়ে একজন লোক আকাশ দেখছে  তার পিছনে একটি নীল গাড়ি দাঁড়িয়ে আছে
a woman is looking through binoculars while standing in front of a car that is parked near mountains .,পাহাড়ের পাশে পার্ক করা একটি কারের সামনে দাঁড়িয়ে এক ব্যক্তি দূরবীনে দেখছে।
"a woman stands in a field near a car , and looks through binoculars .",মাঠে একটি গাড়ির পাশে দাঁড়িয়ে একজন মহিলা দূরবীন দিয়ে দেখছেন
a blue jeep sits in the middle of a stream running through a forested area .,একটি নীল জিপ একটি প্রবাহের মধ্যে দাঁড়িয়ে আছে
a blue land rover is driving across a river .,একটি গাড়ী খাল পাড় হচ্ছে
a blue suv drives in a stream surrounded by woodlands .,একটি ঝিরি পথে একটি এসইউভি গাড়ী চালাচ্ছে
a blue suv driving over a small creek .,একটি নীল এসইউভি ছোট খালের মধ্যদিয়ে যাচ্ছে ।
"the vehicle is crossing a stream of water , in a wooded area .",জংলি এলাকায় একটি গাড়ি স্রোত পার করছে
a man gathers kite string on the beach .,একলোক ঘুড়ির সুতা জড় করছে
a man in a brown striped shirt is walking on the beach with a roll of string in his hand .,এক লোক তার হাত দিয়ে সুতা পেচাচ্ছে
a man wearing jean is flying a kite near the shore .,একজন লোক সৈকতে ঘুড়ি উড়াচ্ছে
a man with a polo shirt and jeans happily flies a kite .,পলো গেঞ্জি ও জিন্স প্যান্ট পড়া এক ব্যক্তি হাস্যরতভাবে ঘুড়ি উড়াচ্ছে।
the boy with the cap holds the kite string and spool while smiling .,টুপি পরা ছেলেটি ঘুড়ি আর নাটাই ধরে হাসছে
a fisherman sits on the roll of chain .,এক মাছ শিকারি শেকলের উপর বসে আছে
a man in boots sitting on a machine,এক লোক মেশিনের উপর বসে আছে
a man resting his legs on spool of metal cable .,একজন লোক একটি ধাতুর তারের নাটাইয়ের উপর পা রেখে বিশ্রাম নিচ্ছে
"a man wearing big , brown , rubber boots is sitting down of a machine with big chains .",বড় বাদামি রাবারের বুট পড়া এক ব্যক্তি বড় চেইনওয়ালা মেশিনের নিচে বসে আছে।
a young man relaxing his legs on a pice of machinery,লোকটি একটি মেশিনের উপর বিশ্রাম করছে
a person feeding a strawberry to a turtle,একজন কচ্ছপকে স্ট্রবেরি খাওয়াচ্ছে
a tortoise attempts to eat a berry .,এক লোক একটি কচ্ছপকে স্ট্রবেরি খাওয়াচ্ছে
someone feeds a strawberry to a turtle .,একজন লোক একটি কচ্ছপকে স্ট্রবেরী খাওয়াচ্ছে
the tortoise is being fed an strawberry .,কচ্ছপটিকে স্ট্রবেরি খাওয়ানো হচ্ছে।
the turtle is being fed a strawberry,কচ্ছপটিকে স্ট্রবেরি খাওয়ানো হচ্ছে
a dog jumps over a very high barrier at a competition,একটি কুকুর উঁচু বাধা পেরোছে
a woman leads a dog to jump a tall hurdle in a competition .,এক কুকুর অনেক উঁচু বাঁধার উপর দিয়ে লাফাচ্ছে
lady in blue top and dark pants astride a white and brown dog leaping a hurdle .,একজন নীল জামা কালো প্যান্ট পরা মহিলা একটি কুকুরকে লাফ দিতে দেখছে
the dog jumps over the high jump bars in a dog show as the owner looks on .,একটি কুকুর প্রদর্শনীতে একটি কুকুর উঁচু বারের উপর দিয়ে লাফাচ্ছে এবং মালিক দেখছে ।
the woman is guiding a brown and white dog over a tall white fence on an obstacle course .,একটি উঁচু সাদা বেড়া ডিঙ্গিয়ে যাচ্ছে একটি কুকুর
a brown dog is running down a green and yellow obstacle .,একটি বাদামী কুকুর নীল হলুদ বাধা পেরোচ্ছে
a dog at a competition runs down a ramp .,একটি কুকুর কাঠের বেঞ্চ বেয়ে নিচে নামছে
a dog running down a ramp during a dog show .,কুকুরটি একটি অনুষ্ঠানে র্যম্পে হাঁটছে
a light brown dog is walking down a blue and yellow ramp .,একটি হালকা বাদামি কুকুর একটি নীল ও হলুদ ঢালু বেঞ্চি বেয়ে নামছে ।
the dog runs down the wooden ramp .,কুকুরটি একটি কাঠের ঢালু পথ দিয়ে নামছে
a brown and white dog is running around a pole .,একটি কুকুর একটি পোলের পাশ দিয়ে দৌড়াচ্ছে
a multicolored dog runs around obstacles on a course .,একটি কুকুর বাঁধা অতিক্রম করে দৌড়াচ্ছে
collie dog races around a pole .,কোলি কুকুরটি একটি খুঁটির পাশে দৌড়াচ্ছে
dog running around red and white poles,লাল ও সাদা পুলের পাশে কুকুরটি ছুটছে ।
the dog is running around a white and pink pole .,সাদা ও গোলাপি যষ্টির পাশ দিয়ে একটি কুকুর দৌড়াচ্ছে
a group of children sit on a skateboard half pipe .,কিছু বাচ্চা একটি কংক্রিটের উঁচু জায়গায় বসে আছে
a group of young children sit on the edge of a cement ledge .,কিছু বাচ্চা মেয়ে দেয়ালে চড়ে বসে আছে
children sit at the top of a cement wall .,শিশুরা একটি সিমেন্টের দেওয়ালের উপর বসে আছে
six girls sit on painted pavement .,ছয় মেয়ে রংকরা পাকা দেয়ালে বসা।
six little girls are sitting on a cement hill .,ছয়টি ছোট মেয়ে বসে আছে একটি সিমেন্টের পাহাড়ে।
a person in a striped fleece clips a carabiner onto a metal line .,একজন ধাতুর মধ্যে দড়ির ক্লিপ বাঁধছে
a person wearing a blue helmet is hooking a pulley onto a thick steel wire .,এক লোক স্টিলের তার জোড়া লাগাচ্ছেন
a woman attaching a carabiner to a guide wire .,একটি মহিলা একটি ক্যারাবাইনার একটি তারের সাথে বাঁধছে
a woman in a helmet hooking up to a wire .,হেলমেট পড়া এক নারী তার ঠিক করছে।
a young woman in a helmet attaches a pulley to a cable .,হেলমেট পরিহিত এক যুবতী তারে একটি পুলি সংযুক্ত করছে।
a car is in the water,পানির মধ্যে একটি গাড়ি
a car sinking in water .,পানিতে একটি গাড়ি ডুবে যাচ্ছে
a land rover is being driven across a river .,একটি নদীর মধ্য দিয়ে একটি ল্যান্ড রোভার গাড়ী চালাচ্ছে
a land rover makes its way through a deep pond .,একটি ল্যান্ড রোবার একটি গভীর পুকুরের মধ্যদিয়ে যাচ্ছে ।
"an automobile is submerged in water , almost to the door handles .",একটি অটোমোবাইল জলে ডুবে আছে
four children are playing in some water .,চারটি শিশু পানির মধ্যে খেলছে
four young girls playing in the water .,বাচ্চারা পানিতে দাঁড়িয়ে আছে
kids play in water .,শিশুরা পানিতে খেলছে
little girls play in the water .,ছোট মেয়েরা পানিতে খেলছে।
young girls in bathing suits playing in the knee deep water beyond the blue railing .,সাঁতারের কাপড় পরিহিত একদল মেয়ে তাদের হাঁটু সমেত পানিতে খেলা করছে
a black and white dog is jumping over a hurdle .,একটি কালো কুকুর কিছু বাধার উপর দিয়ে লাফ দিচ্ছে
a dog is jumping over a series of colored gates .,একটি কুকুর ভিন্ন ভিন্ন রঙের বাধার উপর দিয়ে লাফ দিচ্ছে
a dog jumping over a beam,একটি কুকুর বীমের উপর দিয়ে লাফাচ্ছে ।
a small black dog jumping over gates,একটি ছোটো কালো কুকুর একটি বাধার উপর দিয়ে লাফিয়ে যাচ্ছে
a hiker climbing a rocky hill with fog surrounding him .,একজন পর্বতারোহী কুয়াশায় ঢাকা পাথুরে পাহাড় চড়ছে
a hiker walks on a mountainside .,এক পর্বত আরোহী পাথরে দাঁড়িয়ে নিচের দিকে তাকিয়ে আছে
a hiker with a backpack is up on a misty mountaintop .,কুয়াশাচ্ছন্ন পাহাড়ের চূড়ায় একজন ব্যগ নিয়ে দাড়িয়ে আছে
a person in a white and red shirt and green backpack hiking on a mountain .,সাদা ও লাল গেঞ্জি এবং সবুজ ব্যাগ নিয়ে এক ব্যক্তি পাহাড়ে আরোহণ করছে।
a person wearing red and white climbs a foggy mountain .,লাল এবং সাদা পোশাক পরা ব্যক্তি কুয়াশাচ্ছন্ন পাহাড়ের উপরে উঠেছেন।
a boy and a girl are bending under a fence to look over a ledge .,একটি ছেলে ও একটি মেয়ে বেড়ার উপর দিয়ে নিচে দেখছে
two children look down squeezing through a fence .,দুই বাচ্চা জানালার ফাক দিয়ে মাথা বের করে আছে
two children peek through a fence and down at water .,দুটি শিশু বেড়ার ফাক দিয়ে নিচে পানির দিকে উঁকি মারছে
two children peer over a rusty ledge .,দুই বাচ্চা একটি নোংরা লেডজের মধ্যদিয়ে উঁকি দিচ্ছে ।
two children trying to squeeze under some metal bars,বাচ্চা দুটি একটি ধাতব দন্ডের নিচে অবস্থান করে পানির দিকে তাকিয়ে আছে
a beige and white dog is running quickly across the grass .,একটি কুকুর ঘাসের উপর দৌড়াচ্ছে
a dog running on grass,ঘাসের মধ্য দিয়ে একটি কুকুর দৌড়াচ্ছে
a light-colored dog runs through the grass .,একটি হালকা রংয়ের কুকুর ঘাসের মধ্যদিয়ে ছুটছে।
the short-haired dog is running across a grassy yard .,ছোটো চুলের কুকুরটি ঘাসের মাঠে দৌড়াচ্ছে
a dog running down a dirt track .,একটি কুকুর মাটির উপর দৌড়াচ্ছে
a muzzled greyhound dog is running around a track,মুখ বাঁধা একটি গ্রেহাউন্ড কুকুর রাস্তায় দৌড়াচ্ছে
greyhound running on track with blue vest with a white numeral two .,সাদা দুই নাম্বার সম্বলিত নীল ভেস্টে একটি গ্রেহাউন্ড ট্রেকে ছুটছে ।
the # 2 greyhound dog is running around a track .,গ্রেহাউন্ড কুকুরটি একটি ট্র্যাকের চারপাশে চলছে।
a girl about to eat watermelon and drink juice .,একটি মেয়ে তরমুজ খাচ্ছে ও জুস পাস করেছে
a little girl is sitting at a table with a jug of juice and some watermelon slices .,এক বাচ্চা মেয়ে টেবিলের সামনে খাবার নিয়ে বসে আছে
a little girl sits at a table outdoors and eats watermelon .,বাইরে একটি টেবিলে বসে শিশুটি তরমুজ খাচ্ছে
a young girl at a card table selling lemonade and watermelon .,এক ছোট মেয়ে একটি গোলটেবিলে লেবুর শরবত ও তরমুজ বিক্রি করছে।
young girl sitting at a table selling lemonade and watermelon slices .,মেয়েটি লেবুর শরবত এবং তরমুজ বিক্রি করছে
a beach with people standing on the sand,একটি সৈকতে কিছু মানুষ দাঁড়িয়ে আছে
a woman with a green sunshade is passing a sales merchant on the beach .,এক মহিলা ছাতা হাতে রোদের মধ্যে এক দোকানের সামনে দাঁড়িয়ে আছেন
many people are walking along the beach on a clear day .,সুন্দর একটি দিনে অনেক লোক সৈকতে হেঁটে ু
"people dressed in bathing suits , dresses and shorts are on the beach , near an exhibit .","গোসলের পোশাক , জামা এবং হাফপ্যান্ট পড়া মানুষজন সৈকতে একটি প্রদর্শকের পাশে দাঁড়ানো।"
"people standing on a beach , one under a green umbrella",একদল লোক সৈকতে দাঁড়িয়ে আছে
a black dog in a grassy field fetching a colourful toy .,একটি কালো কুকুরের মুখে একটি খেলনা
a black dog is running through long grass with a colorful toy in its mouth .,একটি কালো কুকুর মুখে খেলনা নিয়ে ঘাসে দৌড়াচ্ছে
a dog catching a toy in a field,মাঠে একটি কুকুর খেলনা ধরছে
black retriever plays with a multi-colored toy in dry grass .,কালো রিট্রাইভার শুকনো ঘাসে একটি বর্ণিল খেলনা দিয়ে খেলছে।
the black dog catches a toy in its mouth while running in the field .,কালো কুকুরটি মুখে একটি খেলনা বহন করছে
a young man sits on a couch and smokes .,একযুবক সোফায় বসে ধূমপান করছে
a young man with a mullet smokes while sitting on a unique couch .,সোফায় বসে এক লোক ধুমপান করছে
man smoking on a couch .,সোফায় বসে লোকটি ধূমপান করছে
the young man is sitting on a couch smoking a cigarette .,সোফায় বসে তরুণ সিগারেট খাচ্ছে ।
young man in a black shirt smokes on a sofa in a colorful room,যুবক লোকটি সোফায় বসে ধূমপান করছে
a lady wearing a red dress is playing a bagpipe .,লাল জামা পরে এক মহিলা ব্যগপাইপ বাজাচ্ছে
a woman in a red dress playing an instrument .,দেয়ালের পাশে দাঁড়িয়ে এক মহিলা বাদ্যযন্ত্র বাজাচ্ছেন
a woman in a red medieval type dress playing a bagpipe or some similar instrument .,মধ্যযুগীয় লাল জামা পরে মহিলটা একটি বাদ্যযন্ত্র বাজাচ্ছে
a woman in costume is playing a bagpipe .,পরিচ্ছেদ পড়া এক নারী শানাই বাজাচ্ছে।
a woman wearing a red costume plays an instrument against a brick wall .,লাল জামা পরিহিত একজন মহিলা একটি দেয়ালের সামনে দাঁড়িয়ে বাদ্যযন্ত্র বাজাচ্ছেন
a person buried in moss .,একজন মসের স্তূপের ভেতর
a woman is sitting at the beach covered by a lot of seaweed .,সমুদ্রের আগাছা দিয়ে এক মহিলা নিজের শরীর ঢেকে আছেন
a woman on the beach is covered in seaweed .,সৈকতে একজন মহিলা সমুদ্র শৈবাল দিয়ে ঢেকে আছে
a young person is buried in a pile of seaweed on a beach .,এক তরুণী সৈকতে সমুদ্র শৈবাল দিয়ে ঢাকা।
the smiling woman at the beach is buried in seaweed .,সামুদ্রিক আগাছা দিয়ে ঢাকা একজন মহিলা
a boy on his bike stops and looks back at the cameraman .,একটি ছেলে হেলমেট পরে সাইকেল নিয়ে তাকিয়ে আছে
a boy stopped on his bike on a bike trail as a woman passes by,এক বাচ্চা তার সাইকেল নিয়ে রাস্তায় দাঁড়িয়ে আছে
a boy with a black shirt and white shorts on a bike is turning to look behind himself .,কালো জামা সাদা প্যান্ট পরে সাইকেলে বসে ছেলেটি পিছনে তাকিয়ে আছে
"a little boy posing on his bike , wearing a helmet .",হেলমেট পড়া এক ছোট বালক তার বাইকে ছবি তুলছে।
a young boy with a bicycle on a road going through a forest,একটি অল্প বয়সী ছেলে একটি বনের মধ্য দিয়ে সাইকেল নিয়ে যাচ্ছে
two children are in a blue amusement park ride .,দুটি শিশু একটি পার্ক রাইডে
"two children on a carnival ride , tree in background .",দুই বাচ্চা রাইড চড়ছে
two children on a ride,দুটি শিশু একটি বাহনে উঠেছে
two children riding a blue rollercoaster smile .,একটি নীল রোলারকোস্টার চড়ছে দুটি শিশু
two kids ride an amusement park ride .,দুই শিশু একটি বিনোদন পার্ক রাইড চড়ছে।
a man in a flannel shirt and black pants sits on a ship looking out through the railing .,একলোক শার্ট ও কালো প্যান্ড পরে রেলিং দিয়ে তাকিয়ে আছে
a man in a flannel shirt sitting behind metal bars .,এক লোক লোহার দন্ডে পা দিয়ে ও দেয়ালে হেলান দিয়ে বসে আছেন
a man sits with his foot on a pole and smiles .,একজন লোক পা নলের উপর দিয়ে বসেছে এবং হাসছে
a man sitting on the ground props his feet up against the railing .,একজন লোক একটি জাহাজের বারান্দায় বসে আছে
a young man in a plaid shirts sits on the deck of a boat .,মোটা ডোরাকাটা শার্ট পড়া এক ব্যক্তি একটি নৌকার পাটাতনে বসেছে ।
a black and white dog carries a white frisbee over the grass .,একটি কুকুর মুখে ফ্রিসবি নিয়ে আছে
a black and white dog returns a frisbee .,একটি কুকুর মুখে ফ্রিসবি ধরে আছে
"a black , brown , and white dog is carrying a frisbee .",সাদা বাদামী কালো কুকুরটি একটি ফ্রিসবি নিয়ে দৌড়াচ্ছে
"a black , brown and white dog running along with a white frisbee in his mouth .","একটি কালো, বাদামী ও সাদা কুকুর মুখে একটি ফ্রিসবি নিয়ে দৌড়ে বেড়াচ্ছে"
"a dog strolls , holding a frisbee in its mouth .",মুখে একটি চাকতি নিয়ে কুকুরটি হাটছে।
a man chases a dog trying to pass the barrier to enter a play area .,একলোক একটি কুকুরের পেছনে দৌড়াচ্ছে
a man follows his black and white dog as it takes on an obstacle course .,এক কুকুর সব বাঁধা অতিক্রম করে দৌড়াচ্ছে
a man runs with his dog as people watch from nearby tents .,একজন লোক তার  কুকুরকে নিয়ে দৌড়াচ্ছে আর অন্যরা দেখছে
the dog does an obstacle course with his trainer .,কুকুরটি তার প্রশিক্ষকের সাথে একটি বাধা কোর্সে অংশগ্রহণ করেছে
the man is training a dog to zigzag through poles .,এক ব্যক্তি কুকুরটিকে পুলের মধ্যদিয়ে জিগজ্যাগ করা শিখাচ্ছে।
a man talks on the phone with his feet up .,একলোক পা উঠিয়ে কথা বলছে
a man wearing a green t-shirt sits with his legs on a ledge and talks on the phone .,লাল টুপী পড়া এক লোক চেয়ারে বসে মোবাইলে কথা বলছে
a man with his feet up using a telephone .,পা উপরে রেখে লোকটি ফোনে কথা বলছে
seated man with red hat and green shirt is talking on the phone .,সবুজ গেঞ্জি ও লাল টুপি পরিহিত লোকটি বসে ফোনে কথা বলছে
the man in the green t-shirt has his feet up whilst talking on a cellphone .,সবুজ গেঞ্জি পড়া লোকটি তার পা তুলে সেলফোনে কথা বলছে।
a football player has the number 25 .,পঁচিশ নম্বর জার্সি পরা এক ফুটবল খেলোয়াড়
"a football player , his helmet half off , looking at the ground .",এক জন ফুটবল প্লেয়ার মাটির দিকে তাকিয়ে আছেন
a football player wearing a white uniform walks and looks down .,ফুটবল খেলোয়াড় সাদা জার্সি পরে নিচের দিকে তাকিয়ে হাঁটছে
a university of miami football player # 25 .,মিয়ামি বিশ্ববিদ্যালয়ের একজন রাগবি খেলোয়াড়
closeup of football player # 25 .,পঁচিশ নাম্বার ফুটবলারের কাছের ছবি।
a brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .,একটি কালো ও একটি খয়েরি কুকুর সমুদ্রের পাড়ে দাঁড়িয়ে আছে
"two dogs , one brown and the other black , play in the surf in the shallow ocean water .",দুটি কুকুরে সমুদ্রের ঢেউয়ে দৌড়াচ্ছে
two dogs playing in the waves .,ঢেউয়েী মধ্যেে দুটি কুকুর খেলছে
two dogs play in the water .,দুটি কুকুর পানিতে খেলছে
two dogs stand back to back in the ocean .,দুটি কুকুর বিপরীতমুখি হয়ে সাগরে দাঁড়িয়ে আছে।
a brown dog jumps over colorful poles and numbered cones .,একটি কুকুর রংবেরঙের পোলের উপর দিয়ে লাফ দিচ্ছে
a large tan dog is jumping over hurdles on a course .,একটি কোর্সে কুকুরটি বাধার উপর দিয়ে লাফ দিচ্ছে
a tan dog jumping over an obstacle .,একটি তামাটে কুকুর একটি বাধার উপর দিয়ে যাচ্ছে
a tan dog jumps over a purple and green gate .,একটি তামাটে কুকুর বেগুনি ও সবুজ গেইটের উপর দিয়ে লাফাচ্ছে ।
a football player prepares to throw the ball .,একজন ফুটবল খেলোয়াড় বল ছুড়ার প্রস্তুতি নিচ্ছে
a man wearing a white uniform is playing football .,সাদা জার্সি পরে লোকটি ফুটবল খেলছে
quarterback for university of florida,ফ্লোরিডা বিশ্ববিদ্যালয়ের কোয়ার্টারব্যাক
the football player is preparing to make a play with onlookers nearby .,রাগবি খেলোয়াড় একটি মুভের জন্য প্রস্তুতি নিচে যার পাশে লোকজন দেখছে ।
a brown dog jumping a wooden wall a few people standind around also,একটি কুকুর কাঠের দেয়াল পার হচ্ছে কিছু মানুষ তা দেখছে
a large brown dog climbs over a tall fence while three people look on .,একটি কুকুর দেয়াল বেয়ে উপরে উঠছে
a police dog in training jumping over a large wall,একটি পুলিশ কুকুরকে বড় দেওয়ালের উপর দিয়ে লাফ দেওয়ার প্রশিক্ষণ দেওয়া হচ্ছে
dog climbing over wall,দেওয়ালে উঠছে কুকুরটি
people watch as a dog scales a wooden wall in a grass field .,লোকজন ঘাসের মাঠে একটি কুকুরের কাঠের দেয়ালে বেয়ে উঠা দেখছে ।
a half naked man pushes against the trunk of a fig tree .,এক অর্ধনগ্ন লোক একটি গাছের গুড়ি ঠেলছে
a man with no shirt is climbing a rock ledge .,এক লোক পাথরে ওঠার চেষ্টা করছে
a man without a shirt on is rock climbing .,জামা ছাড়া লোকটি পাথরে বেয়ে উঠছে
a shirtless man climbs a rock wall .,একজন শার্টহীন মানুষ একটি পাথরের দেয়ালে আরোহণ করছে
a very fit man is leaning against a tree .,একজন স্বাস্থ্যবান ব্যক্তি একটি গাছের উপর ভর দিয়ে আছে।
a black and white dog with a stick in his mouth standing on a hill .,একটি সাদা কালো কুকুর মুখে একটি কাঠি নিয়ে দাঁড়িয়ে আছে
a dog is playing catch on the grassy plain,পাহাড়ের উপর একটি কুকুর মুখে ডাল নিয়ে দাঁড়িয়ে আছে
a dog stands at the top of a mountain and looks on .,পাহাড়ের চূড়ায় দাড়িয়ে আছে একটি কুকুর
a dog stands on a hill looking towards the valley with a stick in its mouth .,একটি কুকুর মুখে একটি লাঠি নিয়ে উপত্যকার দিকে তাকিয়ে আছে
brown dog holding stick in mouth,বাদামি কুকুরটি মুখে লাঠি ধরে আছে।
a dog is in the sand with a pink and green tennis ball in his mouth .,বালির মধ্যে একটি কুকুর মুখে বল কামড়ে আছে
a little dog plays with a colorful ball in the sand .,একটি ছোট কুকুর একটি রঙিন বল নিয়ে খেলছে
a small terrier plays with a tennis ball on the beach .,সৈকতে একটি ছোটো টেরিয়ার কুকুর
"the white dog , with dark patches , is playing in the sand with a tennis ball in its mouth .",কালো দাগযুক্ত সাদা কুকুরটি মুখে টেনিস বল নিয়ে বালুতে খেলছে।
a black and white dog catches a frisbee on a grassy field .,একটি সাদা কালো কুকুর মুখে ফ্রিসবি নিলো
a dog jumping to catch a frisbee .,কুকুরটি একটি ফ্রিসবি ধরতে লাফ দিলো
the black and white dog jumps in the air to catch the white frisbee on the grassy field .,সাদা-কালো কুকুরটি ফ্রিসবি ধরার জন্য শূন্যে লাফ দিয়েছে
the dog leaps to attempt to catch the frisbee .,কুকুর চাকতি ধরার জন্য লাফ দিলো।
a collie catches a white frisbee at an obedience competition .,একটি কুকুর একটি ফ্রিসবি মুখ দিয়ে ধরলো
a dog is jumping up to catch a frisbee in front of white tents at a dog show .,একটি কুকুর ফ্রিসবি ধরতে লাফ দিলো এবং এক লোক তা দাঁড়িয়ে দেখছেন
a dog jumps to catch a frisbee as a man watches .,কুকুরটি একটি ফ্রিসবি ধরতে লাফ দিলো আর লোকটি তা দেখছে
black dog jumping into the air to catch a frisbee .,কালো কুকুর একটি ফ্রিসবি ধরতে বাতাসে ঝাঁপ দিয়েছে
dog jumping high in the air to catch a frisbee .,কুকুরটি শূন্যে উচুঁতে চাকতি ধরার জন্য লাফাচ্ছে ।
children participate in a martial arts tournament .,বাচ্চারা মার্শাল আর্ট শিখছে
two boys do martial arts on a blue mat .,দুই ছেলে মার্শাল আর্ট অনুশীলন করছে
two children in white outfits and red protective gear spar on a mat .,একটি পাপশে দুটি শিশু সাদা লাল জামা পরে বক্সিং করছে
two children wearing martial arts gear fight on a blue mat .,মার্শাল আর্ট গিয়ার পরা দুই শিশু নীল মাদুরের উপরে লড়াই করছে
two children with red helmets engage in martial arts sparring .,লাল হেলমেট পড়া দুই বাচ্চা একটি মার্শাল আর্ট লড়াইয়ে।
a blond person climbs a sheer rock cliff face .,এক সোনালী চুলের মানুষ পাথুরে পাহাড় বাইছে
a girl climbing a rock face .,এক বাচ্চা মেয়ে পাথর বেয়ে উঠার চেষ্টা করছে
a girl on the very top of a large rock wall climbing .,মেয়েটি বিশাল পাথরের উপর বেয়ে উঠছে
a person climbs a rock face .,একজন মানুষ একটি শিলা পর্বতে আরোহণ করছে
a person is climbing to the top of a rock cliff .,এক ব্যক্তি একটি পাথরের চূড়ায় আরোহণ করছে ।
a boat goes out to see while someone watches on the beach .,"একটি নৌকা সমুদ্রে যাচ্ছে, সৈকতে দাঁড়িয়ে এক লোক তা দেখছে"
an orange boat leaves the shore while a person watches nearby .,একটি নৌকা তীর ছেড়ে যাচ্ছে
an orange lifeboat speeds away from its mobile launcher whilst a man in red watches it sail away .,একটি কমলা নৌকা যাচ্ছে আর একটি লাল জামা পরা লোক তা দেখছে
a vehicle has just released a boat into the water as a man in red stands on shore .,একটি নৌকা চলতে শুরু করেছে এবং একজন লোক তীরে দাঁড়িয়ে সেই দৃশ্য দেখছে
the boat rushed off .,নৌকাটি ছেড়েছে।
a man in a pink shirt and sunglasses is sitting in the sun .,একলোক গোলাপী গেঞ্জি ও রোদ চশমা পরে বসে আছে
a man with sunglasses in a pink shirt .,গোলাপী রঙের শার্ট ও সান গ্লাস পড়া এক লোক
an old man sitting down watching something .,একজন লোক বসে বসে কিছু একটা দেখছে
"a older man wearing a pink shirt and sunglasses sits , a woman behind him .",গোলাপি শার্ট এবং রোদ চশমা পরিহিত একজন বয়স্ক লোক
the man is wearing sunglasses and a pink shirt,লোকটি রোদচশমা ও গোলাপি গেঞ্জি পড়ে আছে।
black poodle carrying red chew toy while playing with a brown poodle .,দুটি পুডল একটি খেলনা নিয়ে খেলছে
one black dog with a toy and one yellow dog .,একটি কালো কুকুর মুখে খেলনা নিয়ে আর একটি বাদামী কুকুর একসাথে দাঁড়িয়ে আছে
"these two poodles , one black and one brown , are playing .","এই দুটি পোডল, একটি বাদামী ও একটি কালো, খেলছে।"
two poodles playing with a red toy .,দুই পোডলস লাল খেলনার সাথে খেলছে।
a person is standing on a surfboard and riding down a large wave .,একলোক সার্ফবোর্ড এ করে ঢেউ এর উপর আছে
a person is surfing on a wave while another person heads towards it .,এক লোক সমুদ্রের ঢেউয়ে সার্ফিং করছে
a surfer in a black wetsuit catching a wave while another one tries to catch up with him .,কালো জামা পরা একজন সার্ফার ডেউয়ের উপর আরেকজন তাকে ধরার চেষ্টা করছে
one surfer rides a wave while another surfer paddles at the base of the wave .,দুজন লোক পানিতে সার্ফিং করছে
someone is surfing along a wave with someone else swimming nearby .,এক ব্যক্তি তরঙ্গের সাথে সার্ফ করছে যার পাশে আরেকজন সাঁতার কাটছে।
a group of four friends are drinking alcohol at a party .,চারজনের একটি দল এলকোহল পান করছে
